数据ID,价格
test_0,58.777103
test_1,72.3863
test_2,73.666885
test_3,74.715164
test_4,59.608192
test_5,73.90341
test_6,80.99215
test_7,66.69052
test_8,59.84002
test_9,64.68802
test_10,61.097656
test_11,76.99038
test_12,72.693855
test_13,59.147842
test_14,78.37585
test_15,64.438446
test_16,58.26004
test_17,68.85933
test_18,60.37556
test_19,74.34121
test_20,64.7655
test_21,53.372574
test_22,74.08051
test_23,60.444378
test_24,75.50709
test_25,71.573524
test_26,63.5782
test_27,75.36068
test_28,65.963844
test_29,63.87261
test_30,64.30148
test_31,62.94931
test_32,64.54202
test_33,73.522675
test_34,49.38439
test_35,59.663082
test_36,56.81873
test_37,70.31359
test_38,69.9142
test_39,69.707054
test_40,66.708626
test_41,58.58149
test_42,58.19535
test_43,67.742935
test_44,62.23686
test_45,58.342026
test_46,67.37524
test_47,68.47095
test_48,72.43795
test_49,62.883495
test_50,58.475372
test_51,65.62263
test_52,67.78257
test_53,72.18572
test_54,59.231953
test_55,63.426342
test_56,61.114017
test_57,61.889282
test_58,85.75449
test_59,61.298405
test_60,59.98996
test_61,76.72614
test_62,60.960587
test_63,58.811047
test_64,57.485306
test_65,63.78604
test_66,69.35759
test_67,62.705475
test_68,63.105026
test_69,74.88968
test_70,72.876305
test_71,71.16041
test_72,73.86272
test_73,63.0587
test_74,71.68359
test_75,55.811375
test_76,62.575314
test_77,79.699715
test_78,66.78511
test_79,75.35692
test_80,69.2417
test_81,72.4469
test_82,75.15226
test_83,72.7076
test_84,63.54886
test_85,68.58277
test_86,61.24907
test_87,71.23456
test_88,83.580505
test_89,62.977856
test_90,81.14372
test_91,65.42478
test_92,52.87742
test_93,70.96651
test_94,57.477352
test_95,70.87871
test_96,54.964493
test_97,65.65482
test_98,76.50132
test_99,65.03449
test_100,61.965515
test_101,72.88996
test_102,60.92151
test_103,73.3373
test_104,60.64039
test_105,57.10768
test_106,73.74047
test_107,73.670845
test_108,60.857346
test_109,81.38238
test_110,60.859013
test_111,70.86027
test_112,64.2577
test_113,84.28082
test_114,68.510574
test_115,62.27151
test_116,61.97522
test_117,72.634926
test_118,61.723763
test_119,87.08084
test_120,77.0844
test_121,73.07915
test_122,78.40408
test_123,58.717495
test_124,75.70419
test_125,77.436104
test_126,78.21258
test_127,75.325584
test_128,66.45976
test_129,71.603584
test_130,58.89256
test_131,73.493324
test_132,69.587494
test_133,59.59677
test_134,88.07012
test_135,55.759575
test_136,68.270355
test_137,60.81002
test_138,73.56294
test_139,64.80113
test_140,59.11013
test_141,60.760124
test_142,82.61559
test_143,57.84737
test_144,59.13639
test_145,61.43266
test_146,61.386375
test_147,59.953278
test_148,74.43737
test_149,98.49427
test_150,63.184486
test_151,77.08932
test_152,68.06173
test_153,66.08416
test_154,62.86393
test_155,71.8617
test_156,62.868324
test_157,70.97286
test_158,58.527927
test_159,60.786827
test_160,46.90842
test_161,58.16514
test_162,75.549484
test_163,65.21575
test_164,70.22712
test_165,48.10538
test_166,68.943596
test_167,70.94676
test_168,76.36251
test_169,85.06936
test_170,58.316544
test_171,72.77168
test_172,60.611343
test_173,80.1031
test_174,67.481514
test_175,58.452347
test_176,64.72574
test_177,74.21431
test_178,72.26491
test_179,76.58854
test_180,73.056984
test_181,57.1612
test_182,59.836014
test_183,60.26864
test_184,58.204998
test_185,60.13434
test_186,73.34788
test_187,71.3881
test_188,74.56878
test_189,65.264694
test_190,63.646034
test_191,73.68142
test_192,69.65081
test_193,65.429634
test_194,99.0137
test_195,53.284172
test_196,74.103584
test_197,69.24745
test_198,81.071655
test_199,59.747326
test_200,65.24917
test_201,67.46656
test_202,64.63744
test_203,72.62795
test_204,75.904816
test_205,70.99639
test_206,60.345123
test_207,71.3524
test_208,61.55151
test_209,70.297806
test_210,61.273888
test_211,68.19466
test_212,61.96544
test_213,68.83631
test_214,56.808575
test_215,59.60928
test_216,74.662094
test_217,73.290184
test_218,58.914616
test_219,62.654797
test_220,57.0951
test_221,60.161423
test_222,60.62399
test_223,79.06316
test_224,50.407337
test_225,58.767967
test_226,70.48557
test_227,81.78486
test_228,70.85474
test_229,61.13034
test_230,64.60704
test_231,68.16013
test_232,68.272285
test_233,69.081535
test_234,60.3532
test_235,59.407867
test_236,61.862206
test_237,62.34226
test_238,71.77087
test_239,67.169395
test_240,61.537872
test_241,59.056927
test_242,58.625725
test_243,78.29204
test_244,67.10052
test_245,74.68406
test_246,69.95585
test_247,63.837273
test_248,57.718002
test_249,78.99706
test_250,69.50746
test_251,63.094975
test_252,73.64962
test_253,63.31848
test_254,70.59593
test_255,77.847275
test_256,75.07415
test_257,58.963696
test_258,65.59716
test_259,70.22719
test_260,64.22253
test_261,72.33445
test_262,59.875908
test_263,60.325836
test_264,79.281334
test_265,61.253708
test_266,65.13983
test_267,57.675507
test_268,69.55994
test_269,73.51806
test_270,69.90427
test_271,62.36061
test_272,80.5389
test_273,64.20721
test_274,58.28313
test_275,71.0642
test_276,69.95074
test_277,69.28019
test_278,71.64594
test_279,63.002975
test_280,70.97816
test_281,68.64523
test_282,82.59055
test_283,61.73973
test_284,62.140434
test_285,67.79341
test_286,61.330257
test_287,68.3149
test_288,71.26265
test_289,58.73873
test_290,75.08834
test_291,70.23616
test_292,72.97578
test_293,74.17895
test_294,70.650276
test_295,64.61018
test_296,69.3883
test_297,73.155106
test_298,71.697914
test_299,62.76526
test_300,60.35138
test_301,65.33514
test_302,59.1678
test_303,71.808365
test_304,77.04411
test_305,72.669815
test_306,73.89329
test_307,71.507225
test_308,74.96622
test_309,69.696434
test_310,71.86061
test_311,59.767765
test_312,68.54782
test_313,60.421753
test_314,65.33007
test_315,69.088554
test_316,87.34064
test_317,61.471603
test_318,65.40902
test_319,60.21446
test_320,70.50608
test_321,72.07421
